dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
868,6,6,-0.750325084,300,50,66,501,5.193284988,3387.079102,18.57417488,29.61852455,219.2894135,0.003174389,0.01401622,1
860,7,4,-0.330399573,301,450,66,501,8.996059418,3207.571045,7.141428471,13.12884617,59.03624344,-0.004607219,-0.033492666,1
700,7,6,-0.27537027,50,200,66,501,14.9901247,-2188.428955,11.04536057,18.25505829,165.9637604,-0.010318135,-0.002282688,1
587,5,6,-0.711100101,50,100,66,501,15.47515106,-3725.039551,14.69693851,24.51631355,127.8749847,-0.004820361,-0.014032928,1
862,6,6,-0.777696013,50,50,66,501,6.460033894,1387.303223,17.69180679,29.24882698,180,-0.008501885,0,1
1201,6,6,-0.797006011,301,50,66,501,14.21868706,-5202.372559,20.19900894,33.26683044,232.4314117,-0.003254298,-0.001269286,1
1004,6,6,-0.630070925,300,150,66,501,13.77709484,-775.6431274,18.89444351,30.73752594,199.6538239,0.013589285,0.017824307,1
889,6,6,-0.303730965,200,150,66,501,13.37867355,-9140.488281,10.58300495,17.34932518,219.8055725,0.002919671,0.009739199,1
1186,4,4,-0.178061232,301,200,66,500,3.173757553,1230.471924,2,4.573921204,270,0,0,1
1165,6,6,-0.416034162,200,200,66,501,14.00571251,-974.8753662,18.57417488,30.73752594,227.7263184,-0.006675116,-0.014610087,1
1004,7,6,-0.319433719,300,100,66,50,13.54795074,-5633.559082,17.72004509,29.98014069,213.6900635,-0.001919731,0.00512031,1
1142,7,4,-0.305773646,150,50,81,501,13.61952019,-3528.402588,6.855654716,14.36605644,231.3401947,0.000709537,0.021940509,1
934,7,6,-0.321084052,200,50,81,501,5.67218399,5467.75,17.43559647,29.61852455,230.7105865,-0.004204765,-0.011257561,1
1154,4,4,-0.415112883,301,250,81,501,8.959134102,3422.689941,15.42724895,25.71843338,265.2363586,-0.009521775,-0.012829095,1
1077,6,6,-0.49250865,250,200,81,501,5.35743618,2552.844482,30.83828735,45.27240753,303.6900635,-0.004289509,0.005851782,1
1241,4,6,-0.405188769,301,50,81,501,6.08652544,3323.544434,17.74823952,29.49620819,188.1300964,-0.007975922,-0.001244508,1
952,4,4,-0.240892008,200,100,81,501,8.148936272,107762.4453,11.09053612,20.24305534,229.3987122,-0.007524522,-0.027358759,1
918,4,4,-0.010400247,300,50,81,501,10.53081703,1125.450806,3.162277699,6.45483017,225,0,0,1
954,7,6,-0.230897456,200,50,81,501,8.070849419,253.6752625,17.29161644,28.54879189,197.1027222,0.005932275,0.019203011,1
1740,6,6,-0.685986817,200,50,81,501,5.726938725,985.0522461,11.70469952,19.91116714,186.3401947,0.004443729,0.020577973,1
1240,6,6,-0.648774445,250,50,81,501,13.85955715,-4485.64502,8.602325439,14.36605644,231.3401947,-0.007804903,0.00853242,1
1167,6,6,-0.687348902,301,150,81,100,6.252729893,332.6037598,13.19090557,22.66601372,286.6992493,-0.000276809,0.01616881,1
1162,4,6,-0.410985559,200,100,66,500,14.86488247,-7324.619629,17.14642906,30.21689796,344.0545959,0.000623341,0.020318996,1
986,7,6,-0.438670427,300,300,81,501,14.21271133,-3951.500732,12.36931705,20.7804184,108.4349518,0.001830665,-0.005902919,1
948,4,4,-0.339477718,100,50,81,501,6.101779938,13912.28906,10.72380543,20.24305534,49.39870453,0.003047121,0.007350114,1
950,4,6,-0.341141999,100,50,81,250,14.72612572,-1081.095459,7.141428471,12.1561451,248.1985931,-0.007216115,0.006147156,1
954,4,6,-0.357858092,100,50,81,250,7.27603054,574.350708,8,13.12884617,210.9637604,0.003303289,0.039545555,1
967,4,4,-0.366954505,100,100,81,150,7.68578577,854.2097778,5.916079998,6.842773438,90,-0.018792622,0,1
