dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
1107,6,1,-0.746103585,1,501,5,501,7.681005478,45.06938934,4.690415859,8.206727028,213.6900635,0.002864026,0.023894778,0
768,6,1,-0.77455169,2,50,25,501,8.904470444,754.1577148,9.433980942,17.74467087,270,0,0,0
744,5,1,-0.772046566,1,501,27,501,9.807814598,116.321373,6,4.573921204,180,-0.025356192,0,0
264,5,1,-0.742795169,4,501,21,501,9.869722366,2010.941528,10.53565407,17.87400818,187.1250153,-0.000254644,-0.058620725,0
1021,6,4,-0.715944588,1,501,29,500,6.654835701,79.516716,10.72380543,17.74467087,360,0.011058626,0.039999999,0
549,7,4,-0.59325844,1,50,15,200,6.747861862,110.4496155,12.72792244,19.79887581,180,0.005330807,0.071111113,0
136,5,1,-0.677168429,1,500,27,500,6.911368847,57.80852509,8.485280991,13.49573326,180,0.011768681,0.053333335,0
646,6,1,-0.761679053,1,501,7,501,9.659316063,1253.365234,8.717798233,15.79316902,98.13010406,-0.007298848,-0.016291739,0
620,6,1,-0.768845975,5,501,36,501,11.86395264,5909.388184,8,11.52797318,348.6900635,-0.006483555,-0.091722004,0
193,6,1,-0.723756909,3,500,29,500,7.014802933,160.2701569,11.40175438,20.7804184,341.5650635,0.005230473,0.016865481,0
393,6,6,-0.616580307,4,501,13,50,6.932728291,643.0604248,23.70653915,38.37779999,45,0,0,1
216,3,2,-0.723905742,4,500,22,500,10.05142593,927.5528564,6.708203793,11.30993271,90,-0.006034343,-0.064000003,1
42,3,4,-0.607358754,4,50,21,501,11.9592123,0,1,0,0,0,0,1
35,3,4,-0.492412955,4,50,3,500,7.530994892,77.58233643,7,11.52797318,168.6900635,0.005441555,0.034395754,1
406,7,6,-0.667271316,3,200,29,501,6.466686726,66.90825653,11.61894989,17.87400818,172.8749847,0.000424407,0.097701207,1
142,3,6,-0.44421199,5,100,29,501,8.675798416,9.375,2,2.290610075,180,-0.006384671,0,1
924,6,4,-0.579648137,1,500,25,501,6.970036983,635.1515503,23.81176186,37.68710327,338.7494812,0.006998342,0.006574284,1
284,6,1,-0.740028679,1,500,29,501,7.437583923,459.3124695,16.37070465,27.47443199,270,-0.004469606,0,1
373,5,6,-0.676838398,2,501,29,501,6.548835278,109.5138626,12.32882786,21.60256577,315,0.015431701,0.01616244,1
131,6,6,-0.686799526,5,50,29,501,10.63732529,666.5791626,5,7.20912075,288.4349365,-0.006561887,-0.149259508,1
305,5,1,-0.695626795,1,100,29,501,8.659705162,479.7173462,9,16.08989334,146.3099365,-0.001310071,0.00512031,1
66,6,6,-0.654169858,5,200,3,501,7.12695837,73.70898438,7.07106781,13.67494583,350.5376892,-0.000317352,0.027725667,1
41,5,1,-0.729179502,3,100,3,50,8.675798416,9.375,2,2.290610075,90,-0.006384671,0,1
49,6,6,-0.665623903,3,50,3,500,6.853726387,25.76940918,6.403124332,9.365158081,345.9637451,0.011933353,0.041088387,1
59,6,1,-0.605118811,6,50,24,501,14.03070068,3968.313232,2,3.237688065,135,-0.006369403,-0.113137081,1
76,5,6,-0.610734463,3,200,24,501,7.365414143,366.6456909,14.79864883,25.71843338,138.3664551,0.002614453,0.005864729,1
31,6,6,-0.70805949,2,50,3,50,8.10926342,345.813324,9.486832619,17.87400818,29.74488068,-0.005347534,-0.000610633,1
43,6,6,-0.680330455,3,50,3,50,7.664244175,115.9145432,7.280109882,13.12884617,30.96375656,-0.004607219,-0.033492666,1
42,2,4,-0.354535729,3,50,3,500,8.295392036,749.8057251,13.85640621,23.39650154,33.69006729,-0.004567011,-0.001137846,1
27,3,6,-0.607178509,6,50,3,200,7.119040489,19.76423454,3.464101553,7.20912075,288.4349365,0.006249416,0.050596442,1
61,5,1,-0.687378645,3,100,3,100,6.381158829,61.42362595,9.643651009,17.87400818,330.255127,0.002122037,0.051903766,1
54,5,6,-0.733425438,3,200,3,500,7.287281513,86.52625275,7.07106781,13.67494583,189.462326,-0.000317352,0.027725667,1
25,2,6,-0.427320033,3,50,3,500,7.92375946,35.35533905,3.605551243,6.45483017,315,-0.001569764,0.014142135,1
30,3,1,-0.529146552,3,50,3,501,7.465614319,13.97542572,2.449489832,5.111089706,116.5650482,0.002529584,0.042932507,1
